Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
99832;26829;6355;5537;5305;4766;3455;1554;49;55;-1;1
70309;16157;6524;3549;4060;4461;3606;2309;33;69;7;0
32665;23130;4986;10198;7611;3898;2295;1941;59;45;-1;1
318967;49579;14460;15442;22082;11565;11164;4268;51;63;10;1
505012;99067;7110;8614;10817;6519;3851;1581;25;29;-1;0
558828;40525;12837;5304;10891;4994;5499;3293;47;57;8;1
16732;18080;4006;5551;2412;1769;1077;419;35;43;-1;0
92592;20581;5550;9623;7548;5238;3168;1412;52;78;12;0
218435;53553;9516;8185;7162;5719;3710;2109;35;46;12;1
632233;163531;17302;18245;20730;12312;6548;4464;25;37;-1;1
904715;87711;30179;38964;15785;14102;8925;3271;39;72;21;1
210553;67203;20165;12905;8370;6624;4910;2592;46;54;9;0
401316;69795;7516;6791;6398;6759;2037;1853;44;65;20;0
84916;13813;7730;11723;7608;7806;6201;3279;70;84;-1;0
60471;20760;9639;5365;3237;2405;1913;719;44;61;10;0
839524;274117;40865;31439;25001;21061;16206;5386;55;75;17;1
484919;64055;8722;9390;6768;5004;2630;1638;27;38;11;1
761478;203263;28202;54849;21123;18003;4187;3461;6;6;11;1
11288;19607;7029;6447;8231;6512;4098;2734;79;44;-1;1
90979;53498;6143;6784;8240;4888;3035;1340;42;40;15;1
229767;55636;11115;9924;9653;11511;11120;7545;37;37;-1;1
49619;20132;3583;3047;2529;2814;2613;1282;41;60;-1;1
835273;130424;11234;15201;16779;8490;9803;4867;36;50;36;1
65555;43225;7071;5443;2733;4285;1456;667;44;33;21;1
241634;21804;21364;11062;13000;13206;11258;5934;70;58;15;0
191782;76544;23335;30501;32903;9073;5699;2967;33;54;-1;1
560813;127782;13377;12663;14016;8718;3970;3116;39;32;21;1
140835;67868;8177;9740;10537;6928;8565;3113;69;59;-1;0
15649;20954;5348;8353;7530;4731;2373;1420;75;50;10;0
61994;40020;12454;9588;11887;5924;2372;2270;68;45;8;1
73338;26889;5455;6046;6977;3228;3113;835;56;45;17;0
48997;20566;10185;4448;3381;2870;2321;756;39;62;-1;0
14819;18604;10707;8208;6302;6863;3190;1509;61;56;-1;1
61598;24916;6828;5459;3972;4989;3724;1837;56;76;-1;1
18937;10344;4575;5066;6923;5211;1228;1253;78;58;5;1
200423;33889;12987;14310;5342;6274;3825;2410;59;68;6;0
78162;20135;5133;10869;3623;5220;2604;1862;51;66;22;1
1203733;556827;118312;149180;103552;50041;66565;26795;36;64;50;1
235263;59056;9746;10436;6092;3861;3145;1103;62;81;24;0
643260;66900;12835;8842;8444;6661;1406;900;74;61;-1;0
1258444;124464;15722;10479;12024;5939;9278;2505;22;36;24;1
98189;35332;7629;5600;5817;5970;5807;2250;61;80;-1;1
110594;48823;14002;6179;5422;7394;6211;1910;37;32;-1;0
15396;14303;4917;6766;5909;3694;3443;1908;68;79;-1;1
197122;59860;6606;6932;7752;9738;4492;2015;50;31;-1;1
112956;44534;8191;13671;10672;4592;3867;1876;35;67;26;0
35530;10356;1696;1391;2120;2439;1495;1078;68;52;9;1
21547;24435;8314;11862;6997;5097;4805;2461;61;50;-1;0
492392;41142;11518;15507;6503;5246;1936;945;20;60;17;1
373397;56523;20582;17327;12285;4988;4110;1568;44;60;45;0
1141258;124959;19428;19094;31854;34926;8396;4235;37;65;22;1
376452;40162;10419;8653;5244;9504;8923;3040;54;55;16;0
227444;81627;10142;6610;7212;5453;3167;1377;41;47;12;1
282540;25405;11170;9338;6333;3075;2815;1085;46;70;18;1
541393;110170;33045;11436;23958;13038;6217;4499;46;21;29;0
49685;25862;11598;10072;5515;4988;4845;2275;55;57;-1;1
226312;50206;9129;10262;5956;5574;3149;1372;66;57;10;0
23419;15661;8802;9695;6790;3842;2272;1284;55;87;-1;0
69304;39253;4621;7162;4832;10828;8873;1303;60;56;31;0
851307;97702;91542;122498;167094;173909;16850;4042;30;52;-1;1
137329;31160;8406;5774;5597;4938;2932;1692;70;69;-1;1
97763;33359;4407;5055;7317;8581;6577;2206;71;61;-1;0
505231;35207;15546;43117;16212;8302;8276;4917;58;72;9;1
51163;24553;16766;9420;7989;6878;7823;2999;59;71;-1;1
258533;33347;10540;6724;8126;4474;2434;971;18;46;22;0
150460;90724;23598;9550;7500;6679;4030;3122;40;52;20;1
53718;20257;11702;5297;5259;4476;4578;1195;65;48;-1;0
507539;96908;34927;12421;24961;13781;7032;4841;48;26;23;0
206185;55526;13697;14062;8021;6424;5130;2043;52;59;9;0
269146;94428;30399;17891;13303;9479;7525;4536;38;57;14;1
614587;72833;43721;7423;20179;15334;5042;1786;62;54;61;1
596469;37088;7313;10395;6168;4208;3590;2766;60;53;7;1
48617;18275;6030;4768;4323;2546;1275;602;32;57;11;0
70853;16489;4675;7736;2607;2009;2348;1038;42;68;-1;0
211782;43357;8249;6107;7043;5283;7062;2931;50;33;29;0
150295;49344;14995;12507;9987;8849;6305;2686;68;65;31;0
156840;29046;5823;4236;3548;2837;1671;694;38;47;-1;0
632803;98437;16128;14591;7502;7417;6590;2297;10;42;-1;0
780892;78002;14377;9240;16317;7124;2968;2237;35;14;62;1
178905;23477;6086;7507;5015;4016;2585;980;43;55;22;0
285114;93082;13005;20156;23405;6887;7649;2128;58;27;27;0
155520;20698;5617;14482;5096;6036;5965;1847;58;68;-1;1
95816;20218;6133;7762;3230;2304;1971;785;36;63;-1;1
829012;130850;23347;23167;19162;11638;7361;6787;38;81;11;1
189850;33433;14081;8242;7381;5724;3425;1467;60;73;7;1
36563;13988;9669;6296;5662;7933;5489;4207;83;87;-1;0
164456;31739;9267;17087;6728;3922;2253;948;27;56;-1;0
44999;17511;3791;7356;6083;2464;1570;802;46;70;-1;0
432501;89245;28343;5902;7539;5192;2864;1306;32;54;45;1
1081758;130067;35069;20353;14484;11648;15809;7819;29;46;15;0
69353;25895;10865;16466;10143;5678;2453;1200;69;75;9;1
498150;136858;23349;28910;12520;8793;3602;1401;13;14;11;1
224517;64183;14802;10833;9690;14405;12810;8626;73;48;12;0
112798;45512;10767;21780;5106;7374;4537;1631;57;63;17;1
78381;56875;20658;14974;9759;3730;1425;1093;69;68;23;0
768802;214059;24014;17987;22098;18373;14686;7759;45;50;58;1
336186;102858;11202;10224;7745;4964;4208;1857;36;35;33;1
496140;101405;15514;4234;7396;7875;3126;3965;89;54;18;0
1101798;295211;121618;51923;29541;21438;10687;4658;24;52;-1;0
338063;32446;6076;6371;3129;3513;2895;850;45;57;11;1
136967;47415;10257;8308;8969;11265;6848;5045;68;45;5;0
193817;33647;9133;8106;6942;9754;6242;5058;67;56;13;0
104130;41226;7883;10894;6250;4279;1797;764;52;42;-1;1
155049;60395;7078;6602;5284;3814;1436;1070;37;31;6;1
157019;33334;11368;13059;12524;7108;3828;4297;76;65;8;1
19680;13850;7018;10785;10518;8227;5865;3936;88;86;-1;0
264490;26807;9494;8382;7424;6608;3923;2812;53;64;9;1
194874;57834;5801;6387;6508;8611;4191;2272;53;32;-1;1
121861;20642;6207;6548;6829;4160;868;1105;71;52;16;1
65388;12966;9874;3855;4954;2764;717;465;69;69;11;0
35277;21524;5851;2121;5382;4093;4157;1101;53;67;-1;1
773163;91535;25929;11295;10224;12639;4722;2478;48;40;-1;1
276134;73153;35115;7581;5377;3951;5996;2503;22;84;-1;1
617412;122513;34970;24542;9317;17491;5191;2456;44;69;27;1
1131443;279507;57076;30284;31097;17564;14101;5379;39;74;11;1
24695;23345;8007;7002;4833;3091;905;1437;62;50;23;1
23045;22490;5191;14942;6683;6022;3953;2467;83;79;-1;0
596242;212262;19499;29954;12524;9247;10300;2618;33;47;33;1
1144677;106881;18745;23853;24293;25650;7192;2883;48;57;21;1
417106;58797;6088;5704;8900;3387;1549;1973;28;53;60;1
184118;26186;4469;3298;3696;3139;1428;1252;49;40;35;1
84341;37441;11801;6170;6244;2960;3402;1850;45;82;16;1
1673076;609448;120644;38146;22335;42863;28162;15252;40;24;-1;0
631659;142722;24091;25038;14276;8682;5325;2951;38;41;17;1
323912;60662;11205;11404;10058;6873;3863;2970;56;62;6;1
66013;9704;4812;3896;3623;1890;869;763;40;91;8;0
456941;36154;14162;12114;6732;5732;4402;2175;45;63;23;1
729827;98968;18555;32126;29435;6660;2890;3054;28;63;-1;0
158114;25112;12516;10089;5893;5468;4707;2439;63;69;-1;1
223510;46824;14545;12883;8682;10187;6996;4727;49;64;13;1
129106;26004;6279;11643;5699;6816;4520;1978;74;65;-1;1
169339;31304;14858;12902;15204;14153;8462;6559;56;70;34;1
447448;50476;96328;13927;14224;10408;6847;5749;47;65;14;1
39364;48583;13406;8484;9926;6821;3340;3247;59;44;9;1
916291;128289;34066;32118;24633;15417;15750;6205;28;67;22;1
123172;19037;5239;14778;7168;6470;4887;1940;52;66;-1;0
719235;159811;37818;38673;18522;8721;11632;3089;21;49;23;1
431348;65343;28922;23271;7532;5995;7796;3652;56;54;13;0
561718;82563;14234;12874;4709;11587;6546;2242;51;59;9;1
1142617;103622;16639;26372;23583;26217;7859;2775;50;55;21;1
285347;31773;11670;7997;7887;4141;3904;1211;50;67;10;1
49913;18975;4908;4796;3768;2356;1268;775;31;55;11;0
545043;23213;6121;4113;4540;6647;4256;3257;67;39;-1;0
348768;61646;12461;14630;9212;5982;4089;2918;59;85;15;1
26927;19829;6420;6010;6041;7112;4751;1961;96;69;-1;0
362524;105392;27230;15159;18206;9445;7165;2537;52;70;9;1
210127;33582;13887;8654;2096;3935;810;966;49;52;37;1
1086433;107688;41360;10782;14467;6526;6293;2944;31;77;38;1
922999;129082;31417;31371;59500;24373;7206;11403;38;30;-1;0
122936;21774;7978;8349;7661;4051;4073;1457;45;53;-1;1
160651;85232;19521;4970;7355;3468;4226;1939;35;52;12;1
47782;39851;6080;7787;8619;6743;4813;2003;78;36;-1;0
675695;52495;14893;17348;6688;6064;2277;1909;59;43;29;0
35831;45889;6123;7877;3912;2874;1345;414;28;63;-1;0
253462;43291;13527;8872;5764;7554;5954;4179;48;69;10;1
48581;31374;4356;5140;3553;3273;3463;1170;50;34;-1;1
291500;64301;11703;16370;8342;8090;8541;4247;66;70;-1;0
78975;20739;6109;5040;2790;5164;4227;1278;61;50;-1;0
646717;94137;13719;20479;22606;11431;6007;3352;45;73;28;1
38469;16228;1934;4016;2682;1903;972;604;46;42;-1;1
989587;376608;80915;66273;53309;40451;34586;24781;14;13;7;1
877270;222382;40102;43962;50285;49710;13925;7246;57;48;-1;1
71779;50814;12356;14581;6042;5445;4987;2768;48;59;-1;0
4667;7612;4326;10007;9299;4616;2629;1648;77;58;-1;1
311219;58042;9654;9367;9025;4734;3551;1541;50;43;-1;0
21649;14940;3889;9990;3393;2087;941;480;54;60;-1;0
1051685;88843;16319;17760;12434;6861;2415;2006;30;62;9;1
193308;66258;6622;7712;16725;7920;3794;2070;65;41;-1;1
1055431;87875;12003;17479;11170;8222;3442;1577;35;54;22;1
420947;58215;13179;24869;9785;8834;5339;3173;63;67;-1;0
128299;26901;9591;9019;6113;6759;6807;2035;71;70;13;0
30132;36593;10239;11503;8580;15483;9975;4462;88;69;-1;0
32706;16255;12883;7416;6450;7111;6509;3757;81;89;-1;0
160975;28060;8535;16805;10598;9641;4644;1924;47;77;7;1
64796;53224;28614;12686;11649;8143;3085;1850;62;76;25;1
147030;29551;5015;5539;6804;4003;2163;1856;74;69;-1;0
38978;19411;8845;9321;6009;7775;3643;1231;70;75;-1;1
139103;40913;6995;7693;9815;9340;4511;3664;66;48;-1;1
596607;20364;4971;11491;8520;4782;2573;1121;46;50;-1;0
49773;15121;14483;9050;9439;8522;4941;938;68;83;-1;1
73381;36508;4811;7378;9604;3672;3404;2264;49;52;-1;0
57031;27001;12168;8431;4183;5800;8887;2556;53;55;15;0
100168;18391;6345;5093;2728;2181;1314;285;38;67;-1;0
443965;94929;68904;21647;18360;15070;25158;4249;39;73;31;1
30547;17799;8590;4957;4096;6623;2307;1595;85;78;-1;0
975665;140988;19074;20183;21349;15765;7344;3782;30;39;32;1
224499;41100;35250;20046;10910;11211;8248;3030;58;83;11;1
58738;21772;4389;4729;4374;3722;1780;1138;59;53;9;1
1594548;186314;17145;16660;15360;17999;14404;4638;31;54;41;1
30492;27993;7492;8599;7330;4676;2710;1522;69;51;24;1
601603;167868;52812;51770;30288;15638;9059;4469;14;63;11;1
873588;138944;20253;17558;11342;10103;4891;2857;38;40;33;1
999812;195918;38831;26051;30886;31004;11761;3531;44;56;10;1
225551;38264;9239;6648;5716;14827;11982;5519;79;47;-1;0
894898;110978;40248;25666;39850;10509;5721;4871;13;62;24;1
215399;30771;19769;12860;13632;6572;3424;2844;46;75;-1;0
291053;31459;6201;11807;7854;6102;12492;7576;59;63;-1;0
14360;17748;8076;8373;6580;6469;3798;1670;91;79;-1;0
36909;23829;8635;5130;3877;3966;3342;1639;67;71;-1;1
498481;84857;10527;10386;7959;5778;4352;1802;63;59;36;0
14179;13499;3629;3953;5103;4758;2236;1183;59;52;-1;1
196906;36465;16608;16779;10817;7076;6364;2875;53;63;16;1
41975;24042;4912;6825;6758;4859;2259;1501;52;33;-1;1
331933;40647;25945;12855;11554;9425;3271;1838;64;63;7;1
1079706;242444;75306;16236;54812;20275;10849;3388;39;57;47;1
147981;25870;11220;9566;9048;6679;3036;2256;52;63;6;1
108495;28813;3221;24674;5305;4354;2704;1073;61;85;-1;0
133422;36318;7323;6714;11700;5737;4791;2038;83;59;-1;0
237961;21286;6379;7176;4057;7362;5665;1202;88;46;16;0
86239;12871;6431;3987;4671;5099;9189;2350;37;67;6;0
117721;20172;3662;4185;3558;2725;1264;592;42;47;20;1
10048;10373;5836;8100;6387;3515;2465;1362;50;91;-1;0
257975;99409;10887;7921;6912;10149;7795;3184;44;10;-1;0
267780;27117;8956;4499;3609;2722;2536;893;49;48;36;1
93027;37180;13561;11893;12774;11002;10952;4141;67;65;-1;0
142175;52585;12853;8484;11382;8887;10680;3815;60;65;-1;0
13435;15646;8497;9280;5361;4035;2284;872;62;96;24;0
896147;43833;12935;9291;9694;6401;5226;2675;47;43;16;1
710967;34965;22058;4949;8544;8401;4523;1989;46;67;-1;1
804800;217393;22277;20178;19782;7549;4225;21174;40;64;9;1
165215;63945;18376;23635;11957;15716;7087;4534;81;68;25;1
711990;137479;43125;38859;22214;14483;11408;3762;13;65;17;1
19012;10566;4851;4863;2320;1446;1265;552;48;75;7;0
36879;9443;8855;11628;4375;3541;2441;680;62;83;10;0
404220;126219;41445;19124;20346;16432;11719;3309;60;80;10;1
243305;30414;5948;5136;8222;8180;9367;5658;69;60;7;0
838628;47393;17080;14539;8436;5430;3327;957;39;64;7;1
203443;33331;6479;3982;6471;7248;3188;1707;51;52;6;0
21220;13028;4836;2853;3890;3520;1826;930;61;57;-1;1
1121946;155779;26941;16641;24272;11482;12484;7079;21;52;8;1
730734;95715;43641;55700;24259;14436;5619;2160;45;49;44;1
386437;55817;26261;20657;10586;8796;3764;2578;39;72;-1;1
111285;15886;3542;6092;3377;4959;3635;2079;58;61;22;1
277576;100058;18545;20437;22333;8178;3648;1683;35;59;-1;1
638489;48896;14966;15620;13557;11498;7447;6881;46;49;-1;1
151944;38032;8946;5547;2822;3538;5307;1770;45;25;11;0
435443;64891;25453;22626;11750;4717;4606;2500;56;52;41;0
413936;182456;9856;18548;15228;6916;4353;1633;59;52;-1;0
62264;33397;7729;5767;7218;5101;3084;2127;56;61;-1;1
29615;31264;19113;6312;5285;7070;4337;2203;70;67;-1;1
181602;21337;8844;11210;7141;4485;2744;1878;57;90;12;0
100244;29918;15318;13696;7741;9314;9905;3209;53;77;9;0
161336;30991;6627;10873;4923;4317;855;772;61;44;26;1
41358;29138;9419;6277;5491;2963;1920;1667;62;85;27;1
49579;10946;4278;5234;4652;4586;2993;1631;88;75;-1;0
21973;15136;5019;4571;3504;3473;3772;2575;65;58;13;1
39014;11723;6258;4081;4014;2383;1568;745;58;69;-1;0
180500;30173;3653;4002;4496;8035;8081;3352;35;30;12;0
405481;66703;21567;10513;14769;8467;8590;1845;63;46;-1;0
202858;36903;6945;8199;7647;12097;13674;2456;49;58;-1;0
382437;49453;27472;20528;17857;6605;4472;2281;39;71;-1;1
360124;45359;8332;5906;7131;3447;1490;1129;38;59;39;0
334553;45069;8101;12853;4907;4094;2755;1716;42;55;8;1
523166;128346;8498;19313;27596;20320;8198;3990;66;53;-1;1
590369;50754;21233;31532;14604;13355;9923;8417;79;76;28;1
1282276;150692;25218;37533;38166;42597;11513;5618;42;57;55;1
38844;32441;6154;9170;10004;8503;6485;2675;80;56;-1;0
508767;45474;15697;9879;9579;8593;4291;3433;40;49;24;1
817029;152453;51135;27079;19882;12569;7576;1879;32;53;15;0
646970;79625;15620;16180;8401;4461;2477;1408;13;57;-1;0
21908;7104;3207;3424;6225;7323;7260;4509;86;57;-1;0
154652;28867;6775;8670;5710;6324;6597;3772;50;57;16;0
384911;57618;7704;6362;8173;5593;4238;2170;52;52;-1;1
601568;294028;19331;26136;25502;18373;7283;6199;18;51;21;1
365442;35477;10041;8066;4783;4093;2684;1082;49;72;12;1
790975;85375;23244;19741;15150;8758;5076;2193;31;69;13;1
661073;84101;17981;11504;9338;7936;8356;3213;77;31;9;0
463852;73232;15868;8497;7819;9704;10989;2669;33;31;10;0
564393;422733;77922;57932;24354;37777;31270;12189;31;51;20;1
341392;52235;25631;13335;7696;10139;9741;4356;28;35;-1;0
580233;138950;13560;12353;18038;9829;3619;3598;30;38;7;1
506390;56965;16086;16793;9382;4976;2113;2238;58;74;-1;0
32523;24234;7406;4092;4087;4409;3256;1620;53;57;8;1
53212;12846;4848;12802;3561;4763;2220;973;68;72;7;1
470749;34772;19327;12295;11552;4038;2322;1360;59;46;16;1
279371;45758;11389;9903;7825;6629;2431;1568;63;48;7;1
720108;77725;27336;8480;13995;8805;3544;1563;41;47;26;1
827047;32298;16500;18672;22645;14160;9965;2848;47;61;6;1
64899;39537;8226;12606;8575;9931;9888;4372;17;38;-1;0
39147;17763;9146;3941;4224;6210;4675;2381;55;81;15;0
48973;11723;3534;5536;5831;5295;2958;1583;90;77;-1;0
11546;17489;9337;9243;2473;1291;1063;602;44;81;-1;0
23025;17770;9426;4684;6923;5761;4287;2515;87;79;-1;0
139210;35606;6477;5218;7036;7343;4091;2258;68;47;8;0
262006;24631;8348;4090;3574;4294;2482;1536;53;62;-1;1
561858;111937;18657;26619;21923;11248;4645;1804;60;68;16;0
35662;26680;8115;4409;6970;9592;9058;4157;60;53;-1;0
349907;78576;5265;15221;10714;10058;4055;3644;44;53;6;1
84275;36169;13769;11871;9876;6047;3402;5057;62;82;-1;1
950087;90567;12992;18116;9860;5661;3770;1321;33;60;-1;1
205805;92842;14149;15743;13119;5471;3205;1095;33;34;14;1
27079;8650;2144;2027;2047;1813;1793;763;49;60;-1;1
154776;38162;13840;14037;9401;12225;8634;4082;72;76;-1;1
215757;52605;5914;7489;6319;6948;5036;2912;47;61;12;0
1162975;115109;45223;21071;10853;10978;14399;7809;30;65;15;0
737386;158745;32695;37410;23386;10034;4975;3081;7;43;-1;1
13778;6338;4674;4756;3762;2049;1330;711;55;78;-1;0
668732;40539;8527;9472;8223;4972;3184;1340;30;33;-1;0
192069;48585;7658;5169;7068;3281;2463;1450;27;47;13;1
98272;51006;4143;7048;4277;3951;1739;1182;37;39;15;1
42139;37042;10796;12190;10738;7745;7143;4130;56;73;-1;0
87708;34977;7057;7226;11770;11772;8744;5847;83;66;-1;0
921546;173574;77172;41570;60471;57733;5283;3907;55;45;58;1
8953;11552;3330;5303;6960;4529;4199;2419;76;62;-1;0
332043;110328;6825;6478;5273;7422;3888;2462;38;41;-1;1
168317;29818;2925;10173;6189;5665;2471;905;42;58;-1;1
601790;86639;21808;13285;7522;6156;5228;2024;16;51;-1;0
56971;24699;4873;2903;2511;3292;1325;883;62;29;-1;1
135328;46824;14880;7771;9101;5657;5035;2732;28;24;20;0
389644;55358;7489;9009;7160;5837;1886;1157;44;28;15;1
88134;11443;6438;7888;6331;5877;5680;2064;79;73;-1;1
70812;50278;13240;11741;12372;6657;2878;2425;75;44;27;1
25078;14611;4294;6137;7095;8105;7976;3441;64;45;-1;0
35575;31002;5611;4193;8076;3023;2205;1176;48;32;12;1
75598;35816;7341;6787;3068;2922;1653;765;29;49;16;0
51692;29432;13589;5279;5650;5185;3623;1501;36;58;9;1
192176;33283;16867;9366;12087;4902;5673;2059;42;75;7;1
233476;20914;19117;20595;7996;7916;4084;2977;56;94;-1;1
127978;34323;4546;7926;5120;6229;3417;2256;73;71;16;1
58099;19036;4142;5155;6320;5938;5644;2145;72;74;-1;1
172018;80409;20726;9607;19750;9296;12723;4739;74;48;-1;0
393586;31724;8390;7106;8559;8779;5727;3819;54;57;6;1
159521;18871;9587;3672;5413;6218;5452;2093;76;93;-1;0
109471;30500;11339;10901;7923;2708;1684;1239;32;58;21;0
524647;76837;23440;28248;12520;13443;2829;2375;57;66;62;1
94986;24594;8734;10466;3671;6200;2127;1498;65;47;7;1
117100;18041;5832;5779;3759;5596;4903;1569;89;65;-1;0
1063720;167073;46031;32243;22992;18416;11624;4107;57;71;29;1
138454;37463;8324;11627;8391;5559;3763;2088;61;71;11;1
227979;33898;14861;8242;20012;10886;8576;2967;69;60;-1;0
69463;26762;6839;7387;9057;7587;4864;2557;62;69;14;0
530530;93350;5054;6697;8822;8191;6536;2082;49;36;15;1
124185;23271;7055;6927;4772;12864;7086;3557;82;48;16;0
116886;36014;7537;4951;4983;4834;3023;1378;47;53;5;1
407661;71996;28348;20982;9847;4840;3743;708;24;74;21;1
168387;36916;24257;14108;7100;12868;7734;3450;62;85;14;0
776727;89541;24396;13811;10215;13145;5660;2998;48;35;7;1
448314;95576;10439;14098;9984;13456;12460;6364;49;44;22;1
1055125;328200;72295;32756;16433;24528;26529;9647;29;63;14;1
239336;63254;10977;21156;12673;7029;6672;5625;51;61;9;1
130576;29765;18382;4720;9735;8732;5457;3817;72;63;-1;1
389461;167223;21680;5434;5788;7238;4309;2714;22;37;-1;1
38959;33681;8171;7402;10302;3253;1688;730;41;71;47;1
42104;17671;7874;8111;7729;4791;2153;1708;65;44;9;1
371194;73843;26348;18105;14548;11690;13951;4640;39;69;27;1
31829;25291;8915;6784;5785;3805;3586;2013;68;45;8;1
72839;11303;4825;6784;2890;2795;1736;624;49;68;21;1
864794;243078;114105;68304;15222;31161;36207;7587;30;77;43;1
28947;23779;6019;4137;7220;5137;1729;1484;59;38;6;1
55622;16567;3855;4697;3926;3221;2296;1004;55;49;20;1
205650;63232;7388;7309;7056;6640;9473;2225;55;22;-1;0
73971;30386;4597;5791;2704;3162;2301;1267;45;34;21;1
271839;55544;27020;9015;9132;7214;5386;3596;63;36;7;0
202946;15511;3056;3373;3209;2013;1971;629;53;68;-1;1
331881;41674;26468;18859;12316;9826;3162;1752;65;61;7;1
45195;16726;6795;13221;3856;4879;3696;807;79;79;8;1
123710;18644;2810;2458;2822;3036;1860;1137;58;49;15;0
303497;39467;17998;12070;16864;11114;7435;5197;52;41;-1;0
358552;36641;20852;16847;8976;4893;2589;1604;29;68;17;1
35501;15386;7290;6398;3582;4224;3518;1364;60;71;5;1
564837;66507;18505;24351;19545;10912;5115;2727;39;32;-1;0
147012;32640;32676;28981;15993;11797;7329;3103;71;95;9;1
152123;41391;10042;8280;8480;4032;3424;1179;52;75;-1;0
122928;40335;6585;15612;10473;6803;5094;3095;59;78;17;1
141486;34983;3810;4374;4342;2960;2188;665;56;46;23;1
93571;29812;12821;16297;8753;6525;2337;1313;68;76;9;1
871282;72324;23748;15988;9724;9340;8686;2908;75;76;25;1
281430;42620;11616;8907;2815;2670;1356;800;17;52;6;0
819623;251113;47967;22844;14509;15114;17461;8642;29;58;15;1
70015;46755;5060;6213;4525;3237;2766;784;56;41;9;1
20536;11569;6682;6334;9473;3528;2011;1330;75;56;10;1
95618;36057;5921;4632;5879;5411;3547;1402;70;32;-1;0
368208;149425;16581;22649;19371;14524;7907;4364;57;61;32;1
102408;40002;10918;12668;5092;3571;5377;2085;41;71;-1;1
990845;144709;9500;12873;14157;15076;11296;3176;44;32;7;1
582278;141695;23185;26033;21307;9531;7082;3376;37;45;-1;1
350851;19006;9138;4728;6273;6072;4652;3393;74;66;8;0
313890;41392;5748;4371;5350;5619;4063;1426;55;48;8;1
410540;122992;20351;26334;18915;12106;11518;7343;34;48;-1;1
65732;18818;7578;8297;5303;3968;2331;1378;65;71;23;0
81998;11774;11466;7421;4425;2207;1273;857;43;87;13;0
200282;81284;15525;8381;10545;9126;6540;4258;46;44;-1;0
188867;24563;4677;8050;6055;5172;7852;3547;75;61;-1;0
665765;82936;18052;13257;8292;9403;3820;1430;42;54;50;1
73610;28077;6654;8706;7672;6007;2158;1261;63;45;-1;1
130108;52081;22755;12977;9268;5872;2672;1280;38;49;-1;0
17986;43549;12198;6985;6949;6394;2692;1675;78;79;-1;0
287698;32993;13148;8908;11232;7229;4271;4378;68;60;7;1
564337;146951;31045;17619;18581;25213;14415;6119;80;56;52;1
63131;14923;3761;4497;7988;5445;2622;1414;50;59;-1;1
332010;38691;15114;5946;7380;5087;4283;1983;54;66;10;1
91043;46560;28713;11187;11020;8044;5161;3543;53;72;-1;1
335557;13423;13506;3701;5076;2605;1502;732;31;42;36;1
699540;69267;13767;16670;11724;9291;4176;2133;44;60;8;1
267363;34717;9282;6821;11069;11066;3793;2086;84;38;-1;1
542014;119046;22935;17353;19817;9705;5243;2413;19;56;5;1
218931;71682;11329;14251;10525;5127;2934;1477;40;58;6;1
207241;79079;12929;10257;17819;11910;12016;3815;52;44;-1;0
72018;24981;6383;3510;3677;2623;3004;843;49;52;28;1
146386;39720;5218;8022;7814;6725;3851;2291;42;57;17;1
540538;94570;19003;10858;8469;6911;13458;4273;49;54;-1;1
769009;130526;24358;24625;10708;20667;14898;7777;63;53;-1;1
498392;85568;11324;8825;4925;5053;2860;1473;50;57;12;0
1333913;254745;57307;36106;32356;16735;15407;5237;37;72;11;1
263923;21814;5962;8366;6736;6108;3178;2408;57;64;25;1
137188;45066;10450;6961;6651;8080;7267;4649;52;52;-1;0
157370;34207;9495;11869;9540;7576;6080;3370;71;67;-1;0
51727;32041;16737;7667;4065;3309;1757;1829;42;66;6;0
250795;106736;6365;13182;11371;8158;3854;2577;67;49;22;1
40982;16422;12954;8468;5976;3225;3325;1887;34;87;-1;0
100009;15726;6442;5155;5609;3867;2693;548;54;61;6;0
105638;31757;4140;5063;1732;3149;1943;1344;31;40;30;0
34577;24238;11100;7339;6141;7162;4725;1546;76;74;-1;0
117628;18107;3762;3162;4724;5440;2605;1431;61;66;-1;1
306456;35772;8940;8745;5457;7670;10494;4223;50;36;-1;0
153051;82168;15372;6745;7276;4878;4567;2692;50;47;10;1
18051;13554;4564;3551;6104;3772;4066;2057;88;64;-1;0
21011;24657;7861;12631;10344;5525;2254;2193;66;59;-1;1
1108637;267310;68800;24190;17619;19820;18682;5844;51;76;31;1
804924;138172;37826;26771;13128;15077;7802;5617;39;58;-1;0
386229;49148;14001;9683;8026;14220;11589;7582;50;50;21;0
100008;24107;3944;4447;2994;4051;3157;1118;51;56;7;1
26707;20473;12566;9001;6780;8900;7517;2726;59;87;-1;0
638673;124662;22634;25022;9944;11056;4063;2384;54;66;-1;1
10417;18025;6157;4721;6742;5247;1650;2407;69;45;-1;1
409592;81482;19584;8179;3174;2130;2596;1146;62;67;-1;0
108827;15340;6556;10773;12505;12870;8547;5625;91;62;-1;0
53895;25027;8642;5620;3915;4382;1692;1855;42;43;-1;1
91361;23770;17644;10239;5885;6896;4273;1810;52;75;7;0
60245;31004;10023;6644;8377;3398;1506;830;53;47;7;1
150124;17538;4376;13530;5550;4250;3419;1480;65;68;-1;0
