Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength;Flag
217149;83022;46661;31484;14910;11827;12656;4829;44;74;-1;1
134979;27805;11187;14408;6750;6640;3175;2059;53;67;15;1
333311;61812;19263;10222;5946;4522;4045;1307;37;60;13;1
112557;30783;8887;15850;7433;7327;5528;1992;45;57;34;0
165743;38721;9544;2057;3157;5376;4674;1456;59;45;25;0
280293;85726;15754;7756;14289;7409;3591;3231;45;58;-1;0
48785;18509;7612;3143;7034;6618;3274;2290;62;71;12;0
763921;126550;35919;17643;13932;8303;4231;4822;33;66;16;1
222994;36535;8483;4295;8221;7831;8860;4302;73;48;13;0
667291;295450;37742;57340;40510;12204;9311;11396;20;67;-1;1
177967;42900;13810;6485;8419;11028;7923;3564;67;71;-1;0
509487;86004;14867;16822;6771;11271;6032;1669;35;70;-1;1
73695;26329;8635;7684;4522;6186;4422;2222;71;72;-1;1
292343;76764;14586;7969;13948;12913;8865;4205;73;46;8;1
139436;29235;22854;12069;7426;12781;7891;3383;68;81;-1;0
406715;36738;23440;16293;11296;7194;2456;1413;66;60;8;1
290896;102818;12130;18993;14465;16333;6227;1181;36;36;24;1
46658;26409;3437;2283;2624;1724;2203;971;52;45;18;1
312470;39830;12584;13333;8782;14889;11576;2229;74;61;20;0
29454;40503;9560;9615;5543;8095;5784;3710;37;42;-1;1
666744;38165;15774;11262;6479;5168;2978;1546;47;74;13;1
304624;38007;6931;6273;7666;4748;3420;654;42;71;7;0
262315;20998;8010;6516;4144;3202;1458;1074;46;51;11;1
26941;17763;3912;4894;2760;3132;2683;985;45;12;12;0
105961;46891;5144;8722;4067;4105;2290;2345;53;57;17;1
127995;30683;5626;6503;10011;7899;5681;4273;60;67;-1;1
10202;14745;7032;11273;9585;4068;3395;2161;66;59;-1;1
206923;62614;17679;19099;14315;16967;6882;4639;77;62;22;1
481489;117523;14468;11939;19394;8194;5077;1951;27;57;23;1
18607;19520;4886;4297;4922;4897;1735;945;87;76;21;1
162224;51449;10410;6613;5433;4971;3978;1980;79;48;-1;0
153815;40671;10004;7312;2766;5416;5624;2358;34;19;11;0
