Flag;Delta;Theta;Alpha_low;Alpha_high;Beta_low;Beta_high;Gamma_low;Gamma_high;Attention;Meditation;BlinkStrength
1;280247;33308;18049;16212;8077;7188;14125;4944;40;67;41
1;326863;19233;8607;6376;5510;4764;2688;1259;41;67;168
1;774438;18170;4358;8780;5740;11189;1399;904;44;75;47
1;966409;49036;31379;13336;5256;13008;3985;2102;54;77;-1
1;76582;21805;3330;4096;3003;2642;759;879;53;66;-1
1;140757;13846;7477;11792;13814;9998;10829;3681;57;66;-1
1;777414;239032;36120;106250;74735;57493;24072;19815;51;66;35
1;71060;30397;6640;15240;5087;5624;2982;1594;50;64;-1
1;1206680;217319;4468;24940;61588;12341;14374;13256;44;53;-1
1;43753;16944;548;586;1896;886;685;300;27;29;-1
1;1252478;44708;25421;19879;29812;16831;12145;10765;30;30;-1
1;184461;13557;4107;716;12495;4809;2753;4487;40;17;-1
1;196304;94968;15348;8970;3709;2383;2589;1511;30;26;-1
1;169279;79646;8325;10281;3640;3180;1360;591;29;41;32
1;703431;290396;81935;16667;71514;42579;8001;3581;23;34;-1
1;265499;48462;15519;17402;7286;6994;3203;1538;13;48;51
1;1036748;71373;2607;20130;11220;2745;2539;561;16;50;-1
1;287606;4694;1259;2712;1711;836;600;278;26;57;-1
1;463944;73914;24502;22657;8646;12475;1498;715;24;66;37
1;408164;7270;13706;14638;3652;3181;1844;1633;24;80;-1
1;885517;262462;24825;27232;13483;11121;8370;3346;26;75;63
1;382600;73352;1840;11647;6282;22807;2988;685;37;60;75
1;24681;13859;4659;936;2075;2376;555;106;38;54;-1
1;85763;123078;4665;9237;4860;9367;8431;1176;35;23;52
1;872580;300091;47241;67953;58200;46466;18894;3822;35;23;-1
1;88860;3711;2248;5194;909;652;270;119;35;23;-1
1;1630095;35722;2815;34634;28482;12792;4154;2826;35;23;-1
1;467756;110470;8749;31385;15762;10909;7337;3487;41;27;-1
1;710012;56990;37196;49721;17058;9401;4764;5213;29;48;122
1;745395;102208;1758;17443;11598;10769;5255;954;26;41;-1
1;25839;2936;2418;2434;2136;1285;573;78;34;63;-1
1;1146940;83852;69859;43276;34048;15596;4812;5323;35;74;-1
1;23085;22282;1776;6186;2673;2182;3949;745;37;61;-1
1;490904;57767;29091;28125;4888;4462;3305;1489;27;78;89
1;105995;16370;1116;4218;1135;940;309;385;16;66;-1
1;1884725;97943;14913;32150;14114;13701;8132;10602;17;60;-1
1;326342;130223;43925;39455;59317;15951;8661;4337;17;63;68
1;1747563;164337;22292;5371;12417;4297;2915;969;14;44;-1
1;867841;127609;25287;25732;13626;16823;6260;3727;21;48;78
1;199648;31921;2350;6446;5985;3374;1024;264;21;41;67
1;25473;14124;3106;12438;2201;1422;848;368;16;50;41
1;1806595;1127442;77512;195639;169191;88062;116387;69348;16;50;-1
1;537238;7657;3807;652;6038;2017;1288;484;35;56;-1
1;87962;33783;3215;4895;5566;2173;1377;453;27;51;-1
1;163264;65562;10638;47733;9072;5132;6883;1120;21;64;-1
1;309102;38031;19591;36692;12090;6629;15208;6605;24;64;-1
1;912843;68958;42066;73976;28140;29637;16209;14905;24;78;38
1;16923;21848;2576;999;2862;1885;898;600;27;75;-1
1;351846;93597;9578;56725;40672;14775;6148;3960;35;69;-1
1;1948557;162701;46663;16054;14800;9768;11632;6362;30;57;-1
1;214041;34049;6829;3418;1312;963;807;273;14;47;-1
1;1033424;41448;76220;41004;14624;13080;10826;3262;14;74;-1
1;50257;32735;4976;1888;4968;7618;1167;992;21;61;-1
1;860228;275108;10852;20256;20912;22546;9122;3644;26;48;45
1;128585;8355;4689;5146;5094;3738;5318;1444;44;54;-1
1;1868077;174505;16229;33676;44184;18473;26704;7341;47;34;-1
1;146394;28181;6168;9193;1519;2758;1695;1040;37;47;-1
1;10793;56700;2061;2845;2715;2249;2099;749;29;43;-1
1;18795;22729;3286;10546;9931;6021;2230;1339;26;38;41
1;1211013;626553;14059;35844;63612;12975;9944;3983;13;26;-1
1;477882;191348;19820;23925;17567;12985;14358;13085;11;16;-1
1;9694;9346;1216;10022;6829;3813;1821;481;26;38;-1
1;107633;12980;1141;20341;5180;6309;1340;564;26;48;-1
1;16175;6566;1052;14849;4635;4929;1307;605;50;75;-1
1;35424;47999;25413;20055;10541;4743;3241;564;50;88;39
